id;idManufacturer;title;description;isActual;isSale
;Производитель;Артикул товара;Полное наименование;актуальный;в продаже
97;1;212005;Кабельный канал  2-х канальный 400х300х50 рез;1;1
98;1;212006;Кабельный канал  2-х канальный 900х615х105 рез;1;1
99;1;212011;Кабельный канал  3-х канальный 1000х350х50 рез;1;1
100;1;212012;Кабельный канал  3-х канальный 900х300х50 рез;1;1
101;1;212013;Кабельный канал  3-х канальный 1000х300х50 пу;1;1
102;1;212014;Кабельный канал  3-х канальный 500х300х50 рез;1;1
103;1;212015;Кабельный канал  3-х канальный 900х500х75 24 т рез;1;1
104;1;212016;Кабельный канал  3-х канальный 900х500х75 40 т пу;1;1
105;1;212017;Кабельный канал  3-х канальный 310х500х75 рез;1;1
106;1;212018;Кабельный канал  3-х канальный 900х600х75 рез;1;1
107;1;212021;Кабельный канал  5-ти канальные 900х500х55 20 т рез;1;1
108;1;212022;Кабельный канал  5-ти канальные 900х500х55 40 т пу;1;1
109;1;212023;Кабельный канал  5-ти канальные  310х500х55 20т рез;1;1
110;1;212024;Кабельный канал  5-ти канальные  900х550х55 рез;1;1
111;1;214236;Гайка шестигранная M12 ТД;1;1
112;1;214237;Гайка шестигранная M20;1;1
113;1;214238;Гайка шестигранная M6 ТД;1;1
114;1;214239;Гайка 20-6Н DIN933;1;1
115;1;214240;Гайка 24-6Н DIN933;1;1
116;1;214241;Гайка 30-6Н DIN933;1;1
117;1;214242;Гайка шестигранная M30 ТД;1;1
118;1;214243;Гайка шестигранная M24 ТД;1;1
119;1;214244;Гайка шестигранная M20 ТД;1;1
120;1;214245;Гайка шестигранная М14 ТД;1;1
121;1;214246;Шайба-гровер М12;1;1
122;1;214247;Шайба-гровер М12 ТД;1;1
123;1;214248;Болт М22х80 110 ГОСТ Р 53664;1;1
124;1;214249;Гайка М22. 110 ГОСТ Р 53664;1;1
125;1;214250;Шайба 22 ГОСТ Р 53664;1;1
126;1;214251;Болт М22х70 110 ГОСТ Р 53664;1;1
127;1;214252;Гайка шестигранная M12 316L;1;1
128;1;214253;Гайка шестигранная M10 316L ;1;1
129;1;214254;Шайба-гровер М6;1;1
130;1;214255;Шайба-гровер М16;1;1
131;1;214750;Болт шестигранный М12 200;1;1
132;1;214751;Болт шестигранный M12x120 ТД;1;1
133;1;214756;Болт шестигранный M12x150;1;1
134;1;214757;Болт шестигранный M12x170;1;1
135;1;214758;Болт шестигранный М8/16;1;1
136;1;214759;Болт шестигранный М8/16 ТД;1;1
137;1;218865;Каучуковый держатель SHB SQF F 80-350;1;1
138;1;218868;Каучуковый держатель SHB SQF F 80-500;1;1
139;1;218875;Изолирующая опора SHB SQF 41-350;1;1
140;1;218876;Изолирующая опора SHB SQF 41 D-350;1;1
141;1;218881;Изолирующая опора SHB SQF 41-500;1;1
142;1;218882;Изолирующая опора SHB SQF 41 D-500;1;1
143;1;220900;Кабельный крюк СЭ-7 ПС d38 ;1;1
144;1;220901;Кабельный крюк СЭ-7 ПС d80 ;1;1
145;1;220902;Крепление кабельного крюка СЭ-7 ПС  К2 ;1;1
146;1;220903;Кабельный крюк СЭ-7 ПС d7 ;1;1
147;1;220904;Кабельный крюк СЭ-7 ПС d18 ;1;1
148;1;220905;Кабельный крюк СЭ-7 ПС d28 ;1;1
149;1;220906;Кабельный крюк СЭ-7 ПС d50;1;1
150;1;220907;Кабельный крюк СЭ-7 ПС d68;1;1
151;1;220908;Кабельный крюк СЭ-7 ПС d100;1;1
152;1;222000;Резка профиля;1;1
153;1;222001;Штамповка опорной плиты;1;1
154;1;222002;Штамповка опорной плиты D;1;1
155;1;222003;Приваривание опорной плиты к профилю ;1;1
156;1;222004;Гальванизация;1;1
157;1;222005;Горячее цинкование;1;1
158;1;222006;Приваривание опорной плиты к профилю  D;1;1
159;1;222007;Резка профиля D;1;1
160;1;222008;Опорная плита для консоли 41/41 (140мм);1;1
161;1;222009;Профиль ST 41/41 500 мм (без покрытия);1;1
162;1;222010;Профиль ST 41/41 600 мм (без покрытия);1;1
163;1;222011;Сварка профиля;1;1
164;1;222220;Контейнер невозвратный 20ф;1;1
165;1;222221;Контейнер невозвратный 40ф;1;1
166;1;222222;Доставка;1;1
167;1;222223;Срыв заказа по перевозке;1;1
168;1;222224;Разработка 3D модели фальшпола (7 помещений) для загрузки в Aveva E3D;1;1
169;1;222225;Техническая поддержка при разработке рабочей документации, чертежи, пояснительные записки;1;1
170;1;224237;Гайка шестигранная M24;1;1
171;1;224238;Гайка с прессшайбой M24;1;1
172;1;224239;Гайка с прессшайбой M20;1;1
173;1;224240;Гайка с прессшайбой М12 316L ;1;1
174;1;224241;Гайка с прессшайбой М10 316L ;1;1
175;1;224242;Гайка М5 DIN 6923;1;1
176;1;224558;Шпилька резьбовая М6*1000;1;1
177;1;224559;Резьбовая шпилька 8.8 М12х1000 ТД;1;1
178;1;224560;Резьбовая шпилька М16х1000 ТД;1;1
179;1;224561;Резьбовая шпилька М12х1000 ТД;1;1
180;1;224562;Резьбовая шпилька М10х1000 ТД;1;1
181;1;224563;Резьбовая шпилька М6х1000 ТД;1;1
182;1;224564;Резьбовая шпилька M8 х 2000 ТД;1;1
183;1;224565;Резьбовая шпилька M10 х 2000 ТД;1;1
184;1;224566;Резьбовая шпилька М8х1000 ТД;1;1
185;1;225209;Клиновой анкер 10/250;1;1
186;1;225210;Клиновой анкер 10/170;1;1
187;1;225211;Анкерный болт MUAf 10x80 универс. HEX термодифф. цинкование;1;1
188;1;225212;Анкер для пустотелых конструкций M4/12;1;1
189;1;225213;Анкер для пустотелых конструкций M5/16;1;1
190;1;225214;Анкер для пустотелых конструкций M5/32;1;1
191;1;225215;Анкер для пустотелых конструкций M6/16;1;1
192;1;225216;Анкер для пустотелых конструкций M6/32;1;1
193;1;225217;Анкер для пустотелых конструкций M8/21;1;1
194;1;225218;Анкер для пустотелых конструкций M8/34;1;1
195;1;225219;Анкер клиновой SZ 16/150 ;1;1
196;1;225220;Анкер клиновой SZ 20/192 ;1;1
197;1;225221;Клиновой анкер B 10/30/110;1;1
198;1;225222;Клиновой анкер B 8/30/95;1;1
199;1;225223;Клиновой анкер B 8/10/75;1;1
200;1;225224;Клиновой анкер В 10/125 hdg;1;1
201;1;225225;Клиновой анкер 12/120;1;1
202;1;225226;Клиновой анкер B 10-10/60 оцинк. ;1;1
203;1;225227;Клиновой анкер B 10-10-16/85 оцинк. ;1;1
204;1;225229;Клиновой анкер B 12-10-25/105 оцинк.;1;1
205;1;225230;Клиновой анкер B 12-85-100/180 оцинк;1;1
206;1;225231;Клиновой анкер B 12-13/95 оцинк.;1;1
207;1;225232;Клиновой анкер B 16-13/115 оцинк;1;1
208;1;225233;Клиновой анкер B 16-10-28/130 оцинк;1;1
209;1;225234;Клиновой анкер B 16-60-78/180 оцинк.;1;1
210;1;225235;Анкер для пустотелых конструкций M6/37;1;1
211;1;225236;Фасадный анкер 10х115;1;1
212;1;225237;Винт М6х12;1;1
213;1;225238;Винт М6 х 16;1;1
214;1;225239;Анкер забивной латунный М6;1;1
215;1;225240;Винт М6 х 10;1;1
216;1;225241;Анкеp для высоких нагpузок SZ-S 15-25;1;1
217;1;225242;Анкеp для высоких нагpузок SZ-S 15-45;1;1
218;1;225243;Анкеp для высоких нагpузок SZ-S 18-20;1;1
219;1;225244;Анкеp для высоких нагpузок SZ-S 24-20;1;1
220;1;225245;Анкеp для высоких нагpузок SZ-S 24-50;1;1
221;1;225246;Анкеp для высоких нагpузок SZ-S 28-30;1;1
222;1;225247;Анкеp для высоких нагpузок SZ-S 12-30;1;1
223;1;225248;Анкеp для высоких нагpузок SZ-B 15-25;1;1
224;1;225249;Анкеp для высоких нагpузок SZ-B 15-45;1;1
225;1;225250;Анкеp для высоких нагpузок SZ-B 18-100;1;1
226;1;225251;Анкеp для высоких нагpузок SZ-B 18-20;1;1
227;1;225252;Анкеp для высоких нагpузок SZ-B 24-20;1;1
