id;idDescriptor;idGroup;code;title;imageURL;description;idLoadDiagram
;;Идентификатор товарной группы;Номер товарной подгруппы;Название товарной подгруппы;Ссылка на картинку аватарку товарной подгруппы;Описание товарной подгруппы;Идентификатор картинки со схемой нагрузки
319;;56;1567;Хомут без изоляции с защелкой;./webfiles/1567.png;Описание товарной группы Хомут без изоляции с защелкой;
320;;56;1468;Хомут Kombi S ;./webfiles/1468.png;Описание товарной группы Хомут Kombi S ;
321;;56;1469;Хомут Stabil D;./webfiles/1469.png;Описание товарной группы Хомут Stabil D;
322;;56;1481;Хомут Stabil  тип C LK;./webfiles/1481.png;Описание товарной группы Хомут Stabil  тип C LK;
323;;56;1482;Хомут Stabil D-A ;./webfiles/1482.png;Описание товарной группы Хомут Stabil D-A ;
324;;56;1505;Хомут Stabil;./webfiles/1505.png;Описание товарной группы Хомут Stabil;
325;;56;1470;Хомут Stabil  с изоляцией;./webfiles/1470.png;Описание товарной группы Хомут Stabil  с изоляцией;
326;;56;1500;Хомут Stabil D-2G ss;./webfiles/1500.png;Описание товарной группы Хомут Stabil D-2G ss;
327;;56;1501;Хомут Stabil D-2G ss с силиконовой изоляцией;./webfiles/1501.png;Описание товарной группы Хомут Stabil D-2G ss с силиконовой изоляцией;
328;;56;1471;Хомут Stabil D-3G ;./webfiles/1471.png;Описание товарной группы Хомут Stabil D-3G ;
329;;56;1474;Хомут Stabil D-3G с изоляцией;./webfiles/1474.png;Описание товарной группы Хомут Stabil D-3G с изоляцией;
330;;56;1475;Хомут Stabil RB-A;./webfiles/1475.png;Описание товарной группы Хомут Stabil RB-A;
331;;56;1489;Хомут Stabil D-3G/М mE с изоляцией ;./webfiles/1489.png;Описание товарной группы Хомут Stabil D-3G/М mE с изоляцией ;
332;;56;1485;Хомут Stabil D-3G NBR ;./webfiles/1485.png;Описание товарной группы Хомут Stabil D-3G NBR ;
333;;56;1476;Хомут LKS;./webfiles/1476.png;Описание товарной группы Хомут LKS;
334;;56;1477;Двойной хомут ss;./webfiles/1477.png;Описание товарной группы Двойной хомут ss;
335;;56;1499;Двойной хомут ss с изоляцией;./webfiles/1499.png;Описание товарной группы Двойной хомут ss с изоляцией;
336;;56;1478;Двойной хомут  SRS m.E. VA ;./webfiles/1478.png;Описание товарной группы Двойной хомут  SRS m.E. VA ;
337;;56;1479;Двойной хомут SRC без изоляции;./webfiles/1479.png;Описание товарной группы Двойной хомут SRC без изоляции;
338;;56;1480;Хомут PLU TOP 2G со звукоизоляцией DN;./webfiles/1480.png;Описание товарной группы Хомут PLU TOP 2G со звукоизоляцией DN;
339;;56;1483;Хомут U-образный RUC I hcp;./webfiles/1483.png;Описание товарной группы Хомут U-образный RUC I hcp;
340;;56;1484;Хомут для низких температур AKS;./webfiles/1484.png;Описание товарной группы Хомут для низких температур AKS;
341;;56;1498;Хомут для низких температур RB ;./webfiles/1498.png;Описание товарной группы Хомут для низких температур RB ;
342;;56;1488;Хомут для низких температур LKS ;./webfiles/1488.png;Описание товарной группы Хомут для низких температур LKS ;
343;;56;1490;Хомут для низких температур KS;./webfiles/1490.png;Описание товарной группы Хомут для низких температур KS;
344;;56;1502;Хомут для низких температур KSH;./webfiles/1502.png;Описание товарной группы Хомут для низких температур KSH;
345;;56;1503;Хомут для низких температур KSM ;./webfiles/1503.png;Описание товарной группы Хомут для низких температур KSM ;
346;;56;1504;Хомут для низких температур K-HV;./webfiles/1504.png;Описание товарной группы Хомут для низких температур K-HV;
347;;56;1507;Хомут для низких температур SKS;./webfiles/1507.png;Описание товарной группы Хомут для низких температур SKS;
348;;56;1508;Хомут для низких температур KS RB;./webfiles/1508.png;Описание товарной группы Хомут для низких температур KS RB;
349;;56;1506;Хомут фиксирующей опоры для низких температур;./webfiles/1506.png;Описание товарной группы Хомут фиксирующей опоры для низких температур;
350;;56;1486;Направляющий хомут FR - H 20 DN;./webfiles/1486.png;Описание товарной группы Направляющий хомут FR - H 20 DN;
